Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-jxg3,randomiser-4pcx,randomiser-rj4a,randomiser-lhwo,randomiser-2rg1,randomiser-x87o,Randomise questionnaire elements?,Question Key,Response
1,1719505863860,27/06/2024 16:31:03,1719505863061,1,27/06/2024 17:31:03,161157,9,questionnaire-i1ko,,38547509,BLIND,11326000,,complete,,667d93bb0c771e3e2a66350d,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1280x720,1280x551,,,,Consent from the previous project,2,438ms,,audio,,,,No,BEGIN QUESTIONNAIRE,
2,1719505926214,27/06/2024 16:32:06,1719505925475,1,27/06/2024 17:32:05,161157,9,questionnaire-i1ko,,38547509,BLIND,11326000,,complete,,667d93bb0c771e3e2a66350d,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1280x720,1263x551,,,,Consent from the previous project,2,438ms,,audio,,,,No,birth.date-day,4
3,1719505926293,27/06/2024 16:32:06,1719505925475,1,27/06/2024 17:32:05,161157,9,questionnaire-i1ko,,38547509,BLIND,11326000,,complete,,667d93bb0c771e3e2a66350d,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1280x720,1263x551,,,,Consent from the previous project,2,438ms,,audio,,,,No,birth.date-month,1
4,1719505926293,27/06/2024 16:32:06,1719505925476,1,27/06/2024 17:32:05,161157,9,questionnaire-i1ko,,38547509,BLIND,11326000,,complete,,667d93bb0c771e3e2a66350d,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1280x720,1263x551,,,,Consent from the previous project,2,438ms,,audio,,,,No,birth.date-year,53
5,1719505926293,27/06/2024 16:32:06,1719505925476,1,27/06/2024 17:32:05,161157,9,questionnaire-i1ko,,38547509,BLIND,11326000,,complete,,667d93bb0c771e3e2a66350d,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1280x720,1263x551,,,,Consent from the previous project,2,438ms,,audio,,,,No,sex,Male
6,1719505926293,27/06/2024 16:32:06,1719505925476,1,27/06/2024 17:32:05,161157,9,questionnaire-i1ko,,38547509,BLIND,11326000,,complete,,667d93bb0c771e3e2a66350d,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1280x720,1263x551,,,,Consent from the previous project,2,438ms,,audio,,,,No,sex-quantised,1
7,1719505926293,27/06/2024 16:32:06,1719505925476,1,27/06/2024 17:32:05,161157,9,questionnaire-i1ko,,38547509,BLIND,11326000,,complete,,667d93bb0c771e3e2a66350d,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1280x720,1263x551,,,,Consent from the previous project,2,438ms,,audio,,,,No,sex-text,
8,1719505926293,27/06/2024 16:32:06,1719505925476,1,27/06/2024 17:32:05,161157,9,questionnaire-i1ko,,38547509,BLIND,11326000,,complete,,667d93bb0c771e3e2a66350d,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1280x720,1263x551,,,,Consent from the previous project,2,438ms,,audio,,,,No,Consent1,1
9,1719505926293,27/06/2024 16:32:06,1719505925476,1,27/06/2024 17:32:05,161157,9,questionnaire-i1ko,,38547509,BLIND,11326000,,complete,,667d93bb0c771e3e2a66350d,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1280x720,1263x551,,,,Consent from the previous project,2,438ms,,audio,,,,No,Consent2,1
10,1719505926293,27/06/2024 16:32:06,1719505925476,1,27/06/2024 17:32:05,161157,9,questionnaire-i1ko,,38547509,BLIND,11326000,,complete,,667d93bb0c771e3e2a66350d,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1280x720,1263x551,,,,Consent from the previous project,2,438ms,,audio,,,,No,Consent3,1
