Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-jxg3,randomiser-4pcx,randomiser-rj4a,randomiser-lhwo,randomiser-2rg1,randomiser-x87o,Spreadsheet,duarion,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: duration,Manipulation: Spreadsheet,Manipulation: duarion
1,1719507015255,27/06/2024 16:50:15,1719510615255,1,27/06/2024 18:50:15,161157,9,task-xpu5,,38548376,BLIND,11326233,,complete,,667d981d2ee8e23906411214,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x953,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
2,1719507021861,27/06/2024 16:50:21,1719510621861,1,27/06/2024 18:50:21,161157,9,task-xpu5,,38548376,BLIND,11326233,,complete,,667d981d2ee8e23906411214,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x953,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,1,Instructions,Screen 1,3u35xa,1,continue,,6616.804000011921,6615.204000000001,6616.804000011921,6616.804000011921,6615.204000000001,6616.804000011921,1,6616.804000011921,0,0,,Click To Continue,Continue Button,2,object-101,Instructions,,,
3,1719507023751,27/06/2024 16:50:23,1719510623751,1,27/06/2024 18:50:23,161157,9,task-xpu5,,38548376,BLIND,11326233,,complete,,667d981d2ee8e23906411214,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x953,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,1,Fixation,Screen 1,s2knah,1,continue,,1891.6999999761574,1888.7999999999993,1891.6999999761574,1891.6999999761574,1888.7999999999993,1891.6999999761574,1,1891.6999999761574,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
4,1719507023751,27/06/2024 16:50:23,1719510623751,1,27/06/2024 18:50:23,161157,9,task-xpu5,,38548376,BLIND,11326233,,complete,,667d981d2ee8e23906411214,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x953,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,1,Fixation,Screen 1,s2knah,1,continue,,1891.9999999880783,1888.7999999999993,1891.9999999880783,1891.9999999880783,1888.7999999999993,1891.9999999880783,1,1891.9999999880783,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
5,1719507025831,27/06/2024 16:50:25,1719510625831,1,27/06/2024 18:50:25,161157,9,task-xpu5,,38548376,BLIND,11326233,,complete,,667d981d2ee8e23906411214,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x953,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,1,Fixation,Screen 2,61clbh,2,continue,,2083.3999999999996,2083.3999999999996,2083.3999999999996,2083.3999999999996,2083.3999999999996,2083.3999999999996,1,2083.3999999999996,0,0,,Fixation Timing,Fixation,1,object-90,Fixation,,,
6,1719507025835,27/06/2024 16:50:25,1719510625835,1,27/06/2024 18:50:25,161157,9,task-xpu5,,38548376,BLIND,11326233,,complete,,667d981d2ee8e23906411214,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x953,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,1,Task,Stimuli,f9t134,1,info,audio started,3.799999988079435,0,3.799999988079435,3.799999988079435,0,3.799999988079435,1,3.799999988079435,0,0,,Audio Clip,Audio Clip,1,object-93,Task,595,,
7,1719507026429,27/06/2024 16:50:26,1719510626429,1,27/06/2024 18:50:26,161157,9,task-xpu5,,38548376,BLIND,11326233,,complete,,667d981d2ee8e23906411214,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x953,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,1,Task,Stimuli,f9t134,1,timedOut,,597.6000000000004,597.2000000000007,597.6000000000004,597.6000000000004,597.2000000000007,597.6000000000004,1,597.6000000000004,0,0,,Time Limit,screen,0,screen,Task,595,,
8,1719507041508,27/06/2024 16:50:41,1719510641508,1,27/06/2024 18:50:41,161157,9,task-xpu5,,38548376,BLIND,11326233,,complete,,667d981d2ee8e23906411214,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x953,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,1,Task,Response,6e9b15,2,response,400,8270.699999999999,15076.199999999999,15079.299999976158,8270.699999999999,15076.199999999999,15079.299999976158,1,8270.699999999999,6808.599999976159,0,,Single Number Entry,Single Number Entry,1,object-79,Task,595,,
9,1719507045793,27/06/2024 16:50:45,1719510645793,1,27/06/2024 18:50:45,161157,9,task-xpu5,,38548376,BLIND,11326233,,complete,,667d981d2ee8e23906411214,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x953,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,1,End,Screen 1,rw9j8x,1,continue,,4288.599999976159,4284.700000000001,4288.599999976159,4288.599999976159,4284.700000000001,4288.599999976159,1,4288.599999976159,0,0,,Click To Continue,Continue Button,2,object-97,End,,,
10,1719507045796,27/06/2024 16:50:45,1719510645796,1,27/06/2024 18:50:45,161157,9,task-xpu5,,38548376,BLIND,11326233,,complete,,667d981d2ee8e23906411214,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x953,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,,,,,,info,END,,,,,,,0,,,,,,,,,,,,
1,1719507047436,27/06/2024 16:50:47,1719510647436,1,27/06/2024 18:50:47,161157,9,task-xpu5,,38548434,BLIND,11326226,,complete,,667d97f2a1b33e017fc77485,mobile,undefined K,Android 10,Chrome 126.0.0.0,824x384,749x304,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
