Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-jxg3,randomiser-4pcx,randomiser-rj4a,randomiser-lhwo,randomiser-2rg1,randomiser-x87o,Spreadsheet,duarion,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: duration,Manipulation: Spreadsheet,Manipulation: duarion
1,1719506274866,27/06/2024 16:37:54,1719509874866,1,27/06/2024 18:37:54,161157,9,task-ocn9,,38547805,BLIND,11326055,,complete,,667d94ecae03f2e741834d6b,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x957,,,0,Fixation+Visual,5,752ms,,,,visual,,752ms,,752ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
2,1719506277650,27/06/2024 16:37:57,1719509877650,1,27/06/2024 18:37:57,161157,9,task-ocn9,,38547805,BLIND,11326055,,complete,,667d94ecae03f2e741834d6b,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x957,,,0,Fixation+Visual,5,752ms,,,,visual,,752ms,,752ms,1,Instruction,Screen 1,8wzu54,1,continue,,2789.4680000119206,2786.1679999999997,2789.4680000119206,2789.4680000119206,2786.1679999999997,2789.4680000119206,1,2789.4680000119206,0,0,,Click To Continue,Continue Button,2,object-96,Instruction,,,
3,1719506279338,27/06/2024 16:37:59,1719509879338,1,27/06/2024 18:37:59,161157,9,task-ocn9,,38547805,BLIND,11326055,,complete,,667d94ecae03f2e741834d6b,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x957,,,0,Fixation+Visual,5,752ms,,,,visual,,752ms,,752ms,1,Fixation,Screen 1,s2knah,1,continue,,1690.9000000059605,1689.1999999999998,1690.9000000059605,1690.9000000059605,1689.1999999999998,1690.9000000059605,1,1690.9000000059605,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
4,1719506279338,27/06/2024 16:37:59,1719509879338,1,27/06/2024 18:37:59,161157,9,task-ocn9,,38547805,BLIND,11326055,,complete,,667d94ecae03f2e741834d6b,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x957,,,0,Fixation+Visual,5,752ms,,,,visual,,752ms,,752ms,1,Fixation,Screen 1,s2knah,1,continue,,1691.0999999940395,1689.1999999999998,1691.0999999940395,1691.0999999940395,1689.1999999999998,1691.0999999940395,1,1691.0999999940395,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
5,1719506281430,27/06/2024 16:38:01,1719509881430,1,27/06/2024 18:38:01,161157,9,task-ocn9,,38547805,BLIND,11326055,,complete,,667d94ecae03f2e741834d6b,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x957,,,0,Fixation+Visual,5,752ms,,,,visual,,752ms,,752ms,1,Fixation,Screen 2,61clbh,2,continue,,2093.8,2093.8,2093.8,2093.8,2093.8,2093.8,1,2093.8,0,0,,Fixation Timing,Fixation,1,object-90,Fixation,,,
6,1719506282181,27/06/2024 16:38:02,1719509882181,1,27/06/2024 18:38:02,161157,9,task-ocn9,,38547805,BLIND,11326055,,complete,,667d94ecae03f2e741834d6b,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x957,,,0,Fixation+Visual,5,752ms,,,,visual,,752ms,,752ms,1,Task,Stimuli,f9t134,1,timedOut,,750.9000000059605,750.7000000000007,750.9000000059605,750.9000000059605,750.7000000000007,750.9000000059605,1,750.9000000059605,0,0,,Time Limit,screen,0,screen,Task,752,,
7,1719506286802,27/06/2024 16:38:06,1719509886802,1,27/06/2024 18:38:06,161157,9,task-ocn9,,38547805,BLIND,11326055,,complete,,667d94ecae03f2e741834d6b,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x957,,,0,Fixation+Visual,5,752ms,,,,visual,,752ms,,752ms,1,Task,Response,6e9b15,2,response,300,3570.199999999999,4617.0999999999985,4621.000000017881,3570.199999999999,4617.0999999999985,4621.000000017881,1,3570.199999999999,1050.8000000178818,0,,Single Number Entry,Single Number Entry,1,object-79,Task,752,,
8,1719506290463,27/06/2024 16:38:10,1719509890463,1,27/06/2024 18:38:10,161157,9,task-ocn9,,38547805,BLIND,11326055,,complete,,667d94ecae03f2e741834d6b,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x957,,,0,Fixation+Visual,5,752ms,,,,visual,,752ms,,752ms,1,End,Screen 1,kny8tx,1,continue,,3665.5000000119217,3662,3665.5000000119217,3665.5000000119217,3662,3665.5000000119217,1,3665.5000000119217,0,0,,Click To Continue,Continue Button,2,object-100,End,,,
9,1719506290466,27/06/2024 16:38:10,1719509890466,1,27/06/2024 18:38:10,161157,9,task-ocn9,,38547805,BLIND,11326055,,complete,,667d94ecae03f2e741834d6b,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x957,,,0,Fixation+Visual,5,752ms,,,,visual,,752ms,,752ms,,,,,,info,END,,,,,,,0,,,,,,,,,,,,
1,1719506291383,27/06/2024 16:38:11,1719509891383,1,27/06/2024 18:38:11,161157,9,task-ocn9,,38547814,BLIND,11326067,,complete,,667d950715e9458ff778c91f,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1366x768,1517x712,,,0,Fixation+Visual,5,752ms,,,,visual,,752ms,,752ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
