Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-jxg3,randomiser-4pcx,randomiser-rj4a,randomiser-lhwo,randomiser-2rg1,randomiser-x87o,Spreadsheet,duarion,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: duration,Manipulation: Spreadsheet,Manipulation: duarion
1,1722336615293,30/07/2024 10:50:15,1722340215293,1,30/07/2024 12:50:15,184566,2,task-znge,,39275193,BLIND,11517933,,complete,,66a8c521adce5c84c8328914,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x720,1422x612,,,0,Fixation+Audio,3,2479ms,,,,audio,,2479ms,,2479ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
2,1722336622271,30/07/2024 10:50:22,1722340222271,1,30/07/2024 12:50:22,184566,2,task-znge,,39275193,BLIND,11517933,,complete,,66a8c521adce5c84c8328914,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x720,1422x612,,,0,Fixation+Audio,3,2479ms,,,,audio,,2479ms,,2479ms,1,Instructions,Screen 1,3u35xa,1,continue,,6996.166,6983.166,6996.166,6996.166,6983.166,6996.166,1,6996.166,0,0,,Click To Continue,Continue Button,2,object-101,Instructions,,,
3,1722336623860,30/07/2024 10:50:23,1722340223860,1,30/07/2024 12:50:23,184566,2,task-znge,,39275193,BLIND,11517933,,complete,,66a8c521adce5c84c8328914,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x720,1422x612,,,0,Fixation+Audio,3,2479ms,,,,audio,,2479ms,,2479ms,1,Fixation,Screen 1,s2knah,1,continue,,1602.2000000001863,1600,1602.2000000001863,1602.2000000001863,1600,1602.2000000001863,1,1602.2000000001863,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
4,1722336623861,30/07/2024 10:50:23,1722340223861,1,30/07/2024 12:50:23,184566,2,task-znge,,39275193,BLIND,11517933,,complete,,66a8c521adce5c84c8328914,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x720,1422x612,,,0,Fixation+Audio,3,2479ms,,,,audio,,2479ms,,2479ms,1,Fixation,Screen 1,s2knah,1,continue,,1603,1600,1603,1603,1600,1603,1,1603,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
5,1722336625925,30/07/2024 10:50:25,1722340225925,1,30/07/2024 12:50:25,184566,2,task-znge,,39275193,BLIND,11517933,,complete,,66a8c521adce5c84c8328914,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x720,1422x612,,,0,Fixation+Audio,3,2479ms,,,,audio,,2479ms,,2479ms,1,Fixation,Screen 2,61clbh,2,continue,,2066.8999999999996,2066.8999999999996,2066.8999999999996,2066.8999999999996,2066.8999999999996,2066.8999999999996,1,2066.8999999999996,0,0,,Fixation Timing,Fixation,1,object-90,Fixation,,,
6,1722336625935,30/07/2024 10:50:25,1722340225935,1,30/07/2024 12:50:25,184566,2,task-znge,,39275193,BLIND,11517933,,complete,,66a8c521adce5c84c8328914,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x720,1422x612,,,0,Fixation+Audio,3,2479ms,,,,audio,,2479ms,,2479ms,1,Task,Stimuli,f9t134,1,info,audio started,10.699999999627835,0,10.699999999627835,10.699999999627835,0,10.699999999627835,1,10.699999999627835,0,0,,Audio Clip,Audio Clip,1,object-93,Task,2479,,
7,1722336628408,30/07/2024 10:50:28,1722340228408,1,30/07/2024 12:50:28,184566,2,task-znge,,39275193,BLIND,11517933,,complete,,66a8c521adce5c84c8328914,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x720,1422x612,,,0,Fixation+Audio,3,2479ms,,,,audio,,2479ms,,2479ms,1,Task,Stimuli,f9t134,1,timedOut,,2484.1000000000004,2483.2000000000007,2484.1000000000004,2484.1000000000004,2483.2000000000007,2484.1000000000004,1,2484.1000000000004,0,0,,Time Limit,screen,0,screen,Task,2479,,
8,1722336640891,30/07/2024 10:50:40,1722340240891,1,30/07/2024 12:50:40,184566,2,task-znge,,39275193,BLIND,11517933,,complete,,66a8c521adce5c84c8328914,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x720,1422x612,,,0,Fixation+Audio,3,2479ms,,,,audio,,2479ms,,2479ms,1,Task,Response,6e9b15,2,response,1500,10316.4,12466.499999999998,12483.199999999995,10316.4,12466.499999999998,12483.199999999995,1,10316.4,2166.7999999999956,0,,Single Number Entry,Single Number Entry,1,object-79,Task,2479,,
9,1722336645512,30/07/2024 10:50:45,1722340245512,1,30/07/2024 12:50:45,184566,2,task-znge,,39275193,BLIND,11517933,,complete,,66a8c521adce5c84c8328914,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x720,1422x612,,,0,Fixation+Audio,3,2479ms,,,,audio,,2479ms,,2479ms,1,End,Screen 1,rw9j8x,1,continue,,4637.9000000000015,4633.200000000001,4637.9000000000015,4637.9000000000015,4633.200000000001,4637.9000000000015,1,4637.9000000000015,0,0,,Click To Continue,Continue Button,2,object-97,End,,,
10,1722336645518,30/07/2024 10:50:45,1722340245518,1,30/07/2024 12:50:45,184566,2,task-znge,,39275193,BLIND,11517933,,complete,,66a8c521adce5c84c8328914,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x720,1422x612,,,0,Fixation+Audio,3,2479ms,,,,audio,,2479ms,,2479ms,,,,,,info,END,,,,,,,0,,,,,,,,,,,,
