Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-jxg3,randomiser-4pcx,randomiser-rj4a,randomiser-lhwo,randomiser-2rg1,randomiser-x87o,Spreadsheet,duarion,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: duration,Manipulation: Spreadsheet,Manipulation: duarion
1,1722336500603,30/07/2024 10:48:20,1722340100603,1,30/07/2024 12:48:20,184566,2,task-g4qz,,39275144,BLIND,11517918,,complete,,66a8c4aceb2a10cb99f3a730,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1920x911,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
2,1722336504046,30/07/2024 10:48:24,1722340104046,1,30/07/2024 12:48:24,184566,2,task-g4qz,,39275144,BLIND,11517918,,complete,,66a8c4aceb2a10cb99f3a730,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1920x911,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,1,Instruction,Screen 1,8wzu54,1,continue,,3447.5460000003723,3433.3459999999995,3447.5460000003723,3447.5460000003723,3433.3459999999995,3447.5460000003723,1,3447.5460000003723,0,0,,Click To Continue,Continue Button,2,object-96,Instruction,,,
3,1722336505483,30/07/2024 10:48:25,1722340105483,1,30/07/2024 12:48:25,184566,2,task-g4qz,,39275144,BLIND,11517918,,complete,,66a8c4aceb2a10cb99f3a730,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1920x911,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,1,Fixation,Screen 1,s2knah,1,continue,,1452.900000000559,1450,1452.900000000559,1452.900000000559,1450,1452.900000000559,1,1452.900000000559,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
4,1722336505484,30/07/2024 10:48:25,1722340105484,1,30/07/2024 12:48:25,184566,2,task-g4qz,,39275144,BLIND,11517918,,complete,,66a8c4aceb2a10cb99f3a730,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1920x911,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,1,Fixation,Screen 1,s2knah,1,continue,,1453.5000000001864,1450,1453.5000000001864,1453.5000000001864,1450,1453.5000000001864,1,1453.5000000001864,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
5,1722336507548,30/07/2024 10:48:27,1722340107548,1,30/07/2024 12:48:27,184566,2,task-g4qz,,39275144,BLIND,11517918,,complete,,66a8c4aceb2a10cb99f3a730,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1920x911,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,1,Fixation,Screen 2,61clbh,2,continue,,2066.6000000000004,2066.6000000000004,2066.6000000000004,2066.6000000000004,2066.6000000000004,2066.6000000000004,1,2066.6000000000004,0,0,,Fixation Timing,Fixation,1,object-90,Fixation,,,
6,1722336510648,30/07/2024 10:48:30,1722340110648,1,30/07/2024 12:48:30,184566,2,task-g4qz,,39275144,BLIND,11517918,,complete,,66a8c4aceb2a10cb99f3a730,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1920x911,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,1,Task,Stimuli,f9t134,1,timedOut,,3100.900000000186,3100.0999999999995,3100.900000000186,3100.900000000186,3100.0999999999995,3100.900000000186,1,3100.900000000186,0,0,,Time Limit,screen,0,screen,Task,3107,,
7,1722336520004,30/07/2024 10:48:40,1722340120004,1,30/07/2024 12:48:40,184566,2,task-g4qz,,39275144,BLIND,11517918,,complete,,66a8c4aceb2a10cb99f3a730,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1920x911,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,1,Task,Response,6e9b15,2,response,1800,5416.6,9350.000000000002,9356.6,5416.6,9350.000000000002,9356.6,1,5416.6,3940,0,,Single Number Entry,Single Number Entry,1,object-79,Task,3107,,
8,1722336521601,30/07/2024 10:48:41,1722340121601,1,30/07/2024 12:48:41,184566,2,task-g4qz,,39275144,BLIND,11517918,,complete,,66a8c4aceb2a10cb99f3a730,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1920x911,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,1,End,Screen 1,kny8tx,1,continue,,1603.7000000005573,1600,1603.7000000005573,1603.7000000005573,1600,1603.7000000005573,1,1603.7000000005573,0,0,,Click To Continue,Continue Button,2,object-100,End,,,
9,1722336521603,30/07/2024 10:48:41,1722340121603,1,30/07/2024 12:48:41,184566,2,task-g4qz,,39275144,BLIND,11517918,,complete,,66a8c4aceb2a10cb99f3a730,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1920x911,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,,,,,,info,END,,,,,,,0,,,,,,,,,,,,
1,1722336665721,30/07/2024 10:51:05,1722340265721,1,30/07/2024 12:51:05,184566,2,task-g4qz,,39275243,BLIND,11517935,,complete,,66a8c51c2f0dbd2906584143,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1920x911,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
2,1722336677705,30/07/2024 10:51:17,1722340277705,1,30/07/2024 12:51:17,184566,2,task-g4qz,,39275243,BLIND,11517935,,complete,,66a8c51c2f0dbd2906584143,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1920x911,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,1,Instruction,Screen 1,8wzu54,1,continue,,12008.010000047683,11999.81,12008.010000047683,12008.010000047683,11999.81,12008.010000047683,1,12008.010000047683,0,0,,Click To Continue,Continue Button,2,object-96,Instruction,,,
3,1722336680104,30/07/2024 10:51:20,1722340280104,1,30/07/2024 12:51:20,184566,2,task-g4qz,,39275243,BLIND,11517935,,complete,,66a8c51c2f0dbd2906584143,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1920x911,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,1,Fixation,Screen 1,s2knah,1,continue,,2406.600000143051,2399.8999999999996,2406.600000143051,2406.600000143051,2399.8999999999996,2406.600000143051,1,2406.600000143051,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
4,1722336680104,30/07/2024 10:51:20,1722340280104,1,30/07/2024 12:51:20,184566,2,task-g4qz,,39275243,BLIND,11517935,,complete,,66a8c51c2f0dbd2906584143,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1920x911,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,1,Fixation,Screen 1,s2knah,1,continue,,2406.9000000953674,2399.8999999999996,2406.9000000953674,2406.9000000953674,2399.8999999999996,2406.9000000953674,1,2406.9000000953674,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
5,1722336682164,30/07/2024 10:51:22,1722340282164,1,30/07/2024 12:51:22,184566,2,task-g4qz,,39275243,BLIND,11517935,,complete,,66a8c51c2f0dbd2906584143,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1920x911,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,1,Fixation,Screen 2,61clbh,2,continue,,2066.699999999999,2066.699999999999,2066.699999999999,2066.699999999999,2066.699999999999,2066.699999999999,1,2066.699999999999,0,0,,Fixation Timing,Fixation,1,object-90,Fixation,,,
6,1722336685264,30/07/2024 10:51:25,1722340285264,1,30/07/2024 12:51:25,184566,2,task-g4qz,,39275243,BLIND,11517935,,complete,,66a8c51c2f0dbd2906584143,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1920x911,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,1,Task,Stimuli,f9t134,1,timedOut,,3100.6999999523177,3100,3100.6999999523177,3100.6999999523177,3100,3100.6999999523177,1,3100.6999999523177,0,0,,Time Limit,screen,0,screen,Task,3107,,
7,1722336697844,30/07/2024 10:51:37,1722340297844,1,30/07/2024 12:51:37,184566,2,task-g4qz,,39275243,BLIND,11517935,,complete,,66a8c51c2f0dbd2906584143,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1920x911,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,1,Task,Response,6e9b15,2,response,1750,9133.400000000001,12566.700000000004,12580.100000047685,9133.400000000001,12566.700000000004,12580.100000047685,1,9133.400000000001,3446.7000000476837,0,,Single Number Entry,Single Number Entry,1,object-79,Task,3107,,
8,1722336703936,30/07/2024 10:51:43,1722340303936,1,30/07/2024 12:51:43,184566,2,task-g4qz,,39275243,BLIND,11517935,,complete,,66a8c51c2f0dbd2906584143,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1920x911,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,1,End,Screen 1,kny8tx,1,continue,,6106.1000000953645,6100.0999999999985,6106.1000000953645,6106.1000000953645,6100.0999999999985,6106.1000000953645,1,6106.1000000953645,0,0,,Click To Continue,Continue Button,2,object-100,End,,,
9,1722336703939,30/07/2024 10:51:43,1722340303939,1,30/07/2024 12:51:43,184566,2,task-g4qz,,39275243,BLIND,11517935,,complete,,66a8c51c2f0dbd2906584143,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1920x911,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,,,,,,info,END,,,,,,,0,,,,,,,,,,,,
1,1722336876791,30/07/2024 10:54:36,1722340476791,1,30/07/2024 12:54:36,184566,2,task-g4qz,,39275374,BLIND,11517958,,complete,,66a8c6015466b26e566d4205,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1680x1050,1654x882,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
2,1722336899679,30/07/2024 10:54:59,1722340499679,1,30/07/2024 12:54:59,184566,2,task-g4qz,,39275374,BLIND,11517958,,complete,,66a8c6015466b26e566d4205,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1680x1050,1654x882,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,1,Instruction,Screen 1,8wzu54,1,continue,,25592,25575,25592,25592,25575,25592,1,25592,0,0,,Click To Continue,Continue Button,2,object-96,Instruction,,,
3,1722336907445,30/07/2024 10:55:07,1722340507445,1,30/07/2024 12:55:07,184566,2,task-g4qz,,39275374,BLIND,11517958,,complete,,66a8c6015466b26e566d4205,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1680x1050,1654x882,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,1,Fixation,Screen 1,s2knah,1,continue,,7784,7767,7784,7784,7767,7784,1,7784,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
4,1722336907446,30/07/2024 10:55:07,1722340507446,1,30/07/2024 12:55:07,184566,2,task-g4qz,,39275374,BLIND,11517958,,complete,,66a8c6015466b26e566d4205,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1680x1050,1654x882,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,1,Fixation,Screen 1,s2knah,1,continue,,7784,7767,7784,7784,7767,7784,1,7784,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
5,1722336909494,30/07/2024 10:55:09,1722340509494,1,30/07/2024 12:55:09,184566,2,task-g4qz,,39275374,BLIND,11517958,,complete,,66a8c6015466b26e566d4205,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1680x1050,1654x882,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,1,Fixation,Screen 2,61clbh,2,continue,,2067,2067,2067,2067,2067,2067,1,2067,0,0,,Fixation Timing,Fixation,1,object-90,Fixation,,,
6,1722336912594,30/07/2024 10:55:12,1722340512594,1,30/07/2024 12:55:12,184566,2,task-g4qz,,39275374,BLIND,11517958,,complete,,66a8c6015466b26e566d4205,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1680x1050,1654x882,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,1,Task,Stimuli,f9t134,1,timedOut,,3101,3100,3101,3101,3100,3101,1,3101,0,0,,Time Limit,screen,0,screen,Task,3107,,
7,1722336931516,30/07/2024 10:55:31,1722340531516,1,30/07/2024 12:55:31,184566,2,task-g4qz,,39275374,BLIND,11517958,,complete,,66a8c6015466b26e566d4205,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1680x1050,1654x882,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,1,Task,Response,6e9b15,2,response,2000,8867,18917,18923,8867,18917,18923,1,8867,10056,0,,Single Number Entry,Single Number Entry,1,object-79,Task,3107,,
8,1722336936924,30/07/2024 10:55:36,1722340536924,1,30/07/2024 12:55:36,184566,2,task-g4qz,,39275374,BLIND,11517958,,complete,,66a8c6015466b26e566d4205,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1680x1050,1654x882,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,1,End,Screen 1,kny8tx,1,continue,,5415,5400,5415,5415,5400,5415,1,5415,0,0,,Click To Continue,Continue Button,2,object-100,End,,,
9,1722336936925,30/07/2024 10:55:36,1722340536925,1,30/07/2024 12:55:36,184566,2,task-g4qz,,39275374,BLIND,11517958,,complete,,66a8c6015466b26e566d4205,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1680x1050,1654x882,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,,,,,,info,END,,,,,,,0,,,,,,,,,,,,
1,1722336922849,30/07/2024 10:55:22,1722340522849,1,30/07/2024 12:55:22,184566,2,task-g4qz,,39275406,BLIND,11517966,,complete,,66a8c632a7b8672d55117a94,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1920x1200,1498x842,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
2,1722336928192,30/07/2024 10:55:28,1722340528192,1,30/07/2024 12:55:28,184566,2,task-g4qz,,39275406,BLIND,11517966,,complete,,66a8c632a7b8672d55117a94,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1920x1200,1498x842,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,1,Instruction,Screen 1,8wzu54,1,continue,,5371.100000023842,5354.5,5371.100000023842,5371.100000023842,5354.5,5371.100000023842,1,5371.100000023842,0,0,,Click To Continue,Continue Button,2,object-96,Instruction,,,
3,1722336931593,30/07/2024 10:55:31,1722340531593,1,30/07/2024 12:55:31,184566,2,task-g4qz,,39275406,BLIND,11517966,,complete,,66a8c632a7b8672d55117a94,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1920x1200,1498x842,,,0,Fixation+Visual,3,3107ms,,,,,visual,3107ms,,3107ms,1,Fixation,Screen 1,s2knah,1,continue,,3418.600000023842,3402.7999999999993,3418.600000023842,3418.600000023842,3402.7999999999993,3418.600000023842,1,3418.600000023842,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
