Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-jxg3,randomiser-4pcx,randomiser-rj4a,randomiser-lhwo,randomiser-2rg1,randomiser-x87o,Randomise questionnaire elements?,Question Key,Response
1,1722257287598,29/07/2024 12:48:07,1722257287510,1,29/07/2024 13:48:07,184566,2,questionnaire-i1ko,,39255971,BLIND,11513401,,complete,,0tnrxmo5pk5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x778,,,,PIS and Consent Form,2,1851ms,,,audio,,,No,BEGIN QUESTIONNAIRE,
2,1722257328268,29/07/2024 12:48:48,1722257328216,1,29/07/2024 13:48:48,184566,2,questionnaire-i1ko,,39255971,BLIND,11513401,,complete,,0tnrxmo5pk5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x778,,,,PIS and Consent Form,2,1851ms,,,audio,,,No,BEGIN QUESTIONNAIRE,
3,1722257344573,29/07/2024 12:49:04,1722257344513,1,29/07/2024 13:49:04,184566,2,questionnaire-i1ko,,39255971,BLIND,11513401,,complete,,0tnrxmo5pk5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x778,,,,PIS and Consent Form,2,1851ms,,,audio,,,No,birth.date-day,0
4,1722257344744,29/07/2024 12:49:04,1722257344514,1,29/07/2024 13:49:04,184566,2,questionnaire-i1ko,,39255971,BLIND,11513401,,complete,,0tnrxmo5pk5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x778,,,,PIS and Consent Form,2,1851ms,,,audio,,,No,birth.date-month,0
5,1722257344744,29/07/2024 12:49:04,1722257344514,1,29/07/2024 13:49:04,184566,2,questionnaire-i1ko,,39255971,BLIND,11513401,,complete,,0tnrxmo5pk5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x778,,,,PIS and Consent Form,2,1851ms,,,audio,,,No,birth.date-year,27
6,1722257344744,29/07/2024 12:49:04,1722257344514,1,29/07/2024 13:49:04,184566,2,questionnaire-i1ko,,39255971,BLIND,11513401,,complete,,0tnrxmo5pk5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x778,,,,PIS and Consent Form,2,1851ms,,,audio,,,No,sex,Male
7,1722257344744,29/07/2024 12:49:04,1722257344515,1,29/07/2024 13:49:04,184566,2,questionnaire-i1ko,,39255971,BLIND,11513401,,complete,,0tnrxmo5pk5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x778,,,,PIS and Consent Form,2,1851ms,,,audio,,,No,sex-quantised,1
8,1722257344744,29/07/2024 12:49:04,1722257344515,1,29/07/2024 13:49:04,184566,2,questionnaire-i1ko,,39255971,BLIND,11513401,,complete,,0tnrxmo5pk5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x778,,,,PIS and Consent Form,2,1851ms,,,audio,,,No,sex-text,
9,1722257344744,29/07/2024 12:49:04,1722257344515,1,29/07/2024 13:49:04,184566,2,questionnaire-i1ko,,39255971,BLIND,11513401,,complete,,0tnrxmo5pk5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x778,,,,PIS and Consent Form,2,1851ms,,,audio,,,No,Consent1,1
10,1722257344744,29/07/2024 12:49:04,1722257344515,1,29/07/2024 13:49:04,184566,2,questionnaire-i1ko,,39255971,BLIND,11513401,,complete,,0tnrxmo5pk5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x778,,,,PIS and Consent Form,2,1851ms,,,audio,,,No,Consent2,1
